fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
2.011,10000,1,3,majority,0.05,7,12
2.179,10000,1,3,majority,0.05,7,22
1.345,10000,1,3,majority,0.05,8,2
1.538,10000,1,3,majority,0.05,8,12
1.794,10000,1,3,majority,0.05,8,22
1.249,10000,1,3,majority,0.05,9,2
1.941,10000,1,3,majority,0.05,9,12
1.828,10000,1,3,majority,0.05,9,22
1.881,10000,1,3,majority,0.05,10,2
2.006,10000,1,3,majority,0.05,10,12
2.232,10000,1,3,majority,0.05,10,22
1.894,10000,1,3,plurality,0.0,2,2
2.238,10000,1,3,plurality,0.0,2,12
2.034,10000,1,3,plurality,0.0,2,22
2.231,10000,1,3,plurality,0.0,3,2
1.865,10000,1,3,plurality,0.0,3,12
2.091,10000,1,3,plurality,0.0,3,22
0.895,10000,1,3,plurality,0.0,4,2
2.271,10000,1,3,plurality,0.0,4,12
2.172,10000,1,3,plurality,0.0,4,22
1.32,10000,1,3,plurality,0.0,5,2
1.857,10000,1,3,plurality,0.0,5,12
2.231,10000,1,3,plurality,0.0,5,22
3.256,10000,1,3,plurality,0.0,6,2
2.324,10000,1,3,plurality,0.0,6,12
2.095,10000,1,3,plurality,0.0,6,22
2.119,10000,1,3,plurality,0.0,7,2
1.965,10000,1,3,plurality,0.0,7,12
2.068,10000,1,3,plurality,0.0,7,22
1.376,10000,1,3,plurality,0.0,8,2
2.063,10000,1,3,plurality,0.0,8,12
2.07,10000,1,3,plurality,0.0,8,22
1.291,10000,1,3,plurality,0.0,9,2
2.096,10000,1,3,plurality,0.0,9,12
2.179,10000,1,3,plurality,0.0,9,22
2.193,10000,1,3,plurality,0.0,10,2
2.09,10000,1,3,plurality,0.0,10,12
2.095,10000,1,3,plurality,0.0,10,22
0.946,10000,1,3,plurality,0.01,2,2
1.888,10000,1,3,plurality,0.01,2,12
1.901,10000,1,3,plurality,0.01,2,22
1.299,10000,1,3,plurality,0.01,3,2
2.019,10000,1,3,plurality,0.01,3,12
2.037,10000,1,3,plurality,0.01,3,22
1.637,10000,1,3,plurality,0.01,4,2
2.044,10000,1,3,plurality,0.01,4,12
2.152,10000,1,3,plurality,0.01,4,22
1.626,10000,1,3,plurality,0.01,5,2
2.343,10000,1,3,plurality,0.01,5,12
1.976,10000,1,3,plurality,0.01,5,22
1.24,10000,1,3,plurality,0.01,6,2
1.98,10000,1,3,plurality,0.01,6,12
2.273,10000,1,3,plurality,0.01,6,22
2.542,10000,1,3,plurality,0.01,7,2
1.798,10000,1,3,plurality,0.01,7,12
1.993,10000,1,3,plurality,0.01,7,22
2.264,10000,1,3,plurality,0.01,8,2
2.165,10000,1,3,plurality,0.01,8,12
2.494,10000,1,3,plurality,0.01,8,22
2.367,10000,1,3,plurality,0.01,9,2
1.788,10000,1,3,plurality,0.01,9,12
2.103,10000,1,3,plurality,0.01,9,22
1.69,10000,1,3,plurality,0.01,10,2
1.854,10000,1,3,plurality,0.01,10,12
1.83,10000,1,3,plurality,0.01,10,22
1.755,10000,1,3,plurality,0.05,2,2
2.077,10000,1,3,plurality,0.05,2,12
2.074,10000,1,3,plurality,0.05,2,22
2.081,10000,1,3,plurality,0.05,3,2
2.143,10000,1,3,plurality,0.05,3,12
1.985,10000,1,3,plurality,0.05,3,22
1.501,10000,1,3,plurality,0.05,4,2
2.227,10000,1,3,plurality,0.05,4,12
2.146,10000,1,3,plurality,0.05,4,22
2.495,10000,1,3,plurality,0.05,5,2
1.933,10000,1,3,plurality,0.05,5,12
1.986,10000,1,3,plurality,0.05,5,22
2.113,10000,1,3,plurality,0.05,6,2
1.55,10000,1,3,plurality,0.05,6,12
1.973,10000,1,3,plurality,0.05,6,22
1.931,10000,1,3,plurality,0.05,7,2
2.222,10000,1,3,plurality,0.05,7,12
1.922,10000,1,3,plurality,0.05,7,22
1.986,10000,1,3,plurality,0.05,8,2
2.045,10000,1,3,plurality,0.05,8,12
2.316,10000,1,3,plurality,0.05,8,22
2.436,10000,1,3,plurality,0.05,9,2
2.068,10000,1,3,plurality,0.05,9,12
1.988,10000,1,3,plurality,0.05,9,22
2.555,10000,1,3,plurality,0.05,10,2
2.16,10000,1,3,plurality,0.05,10,12
2.079,10000,1,3,plurality,0.05,10,22
1.958,10000,2,1,majority,0.0,2,2
0.901,10000,2,1,majority,0.0,2,12
1.129,10000,2,1,majority,0.0,2,22
0.799,10000,2,1,majority,0.0,3,2
1.214,10000,2,1,majority,0.0,3,12
1.08,10000,2,1,majority,0.0,3,22
0.888,10000,2,1,majority,0.0,4,2
0.995,10000,2,1,majority,0.0,4,12
0.955,10000,2,1,majority,0.0,4,22
0.835,10000,2,1,majority,0.0,5,2
1.115,10000,2,1,majority,0.0,5,12
0.977,10000,2,1,majority,0.0,5,22
1.522,10000,2,1,majority,0.0,6,2
0.936,10000,2,1,majority,0.0,6,12
1.064,10000,2,1,majority,0.0,6,22
0.778,10000,2,1,majority,0.0,7,2
0.975,10000,2,1,majority,0.0,7,12
1.003,10000,2,1,majority,0.0,7,22
5.009,10000,2,1,majority,0.0,8,2
0.873,10000,2,1,majority,0.0,8,12
0.998,10000,2,1,majority,0.0,8,22
0.736,10000,2,1,majority,0.0,9,2
1.339,10000,2,1,majority,0.0,9,12
1.04,10000,2,1,majority,0.0,9,22
1.287,10000,2,1,majority,0.0,10,2
1.054,10000,2,1,majority,0.0,10,12
1.129,10000,2,1,majority,0.0,10,22
1.166,10000,2,1,majority,0.01,2,2
0.99,10000,2,1,majority,0.01,2,12
1.357,10000,2,1,majority,0.01,2,22
1.262,10000,2,1,majority,0.01,3,2
1.014,10000,2,1,majority,0.01,3,12
0.996,10000,2,1,majority,0.01,3,22
0.734,10000,2,1,majority,0.01,4,2
1.079,10000,2,1,majority,0.01,4,12
1.002,10000,2,1,majority,0.01,4,22
1.06,10000,2,1,majority,0.01,5,2
0.961,10000,2,1,majority,0.01,5,12
1.076,10000,2,1,majority,0.01,5,22
3.144,10000,2,1,majority,0.01,6,2
0.905,10000,2,1,majority,0.01,6,12
1.089,10000,2,1,majority,0.01,6,22
0.72,10000,2,1,majority,0.01,7,2
0.975,10000,2,1,majority,0.01,7,12
1.067,10000,2,1,majority,0.01,7,22
1.603,10000,2,1,majority,0.01,8,2
1.104,10000,2,1,majority,0.01,8,12
1.054,10000,2,1,majority,0.01,8,22
2.558,10000,2,1,majority,0.01,9,2
1.139,10000,2,1,majority,0.01,9,12
0.895,10000,2,1,majority,0.01,9,22
1.372,10000,2,1,majority,0.01,10,2
0.838,10000,2,1,majority,0.01,10,12
0.997,10000,2,1,majority,0.01,10,22
0.854,10000,2,1,majority,0.05,2,2
0.879,10000,2,1,majority,0.05,2,12
0.996,10000,2,1,majority,0.05,2,22
1.33,10000,2,1,majority,0.05,3,2
1.369,10000,2,1,majority,0.05,3,12
1.119,10000,2,1,majority,0.05,3,22
